username,state
Carlos_Santos_Silva,"{""seed"": 9, ""input_state"": {""5fb58dc9a47e4a73bfe0bc44df88092e_4_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_5_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_2_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_3_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_6_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_8_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_7_1"": {}}}"
RFNIF,"{""correct_map"": {""5fb58dc9a47e4a73bfe0bc44df88092e_4_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_5_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_3_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_6_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_8_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_7_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}}, ""input_state"": {""5fb58dc9a47e4a73bfe0bc44df88092e_4_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_5_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_2_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_3_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_6_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_8_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_7_1"": {}}, ""last_submission_time"": ""2019-10-31T18:04:19Z"", ""attempts"": 2, ""seed"": 13, ""done"": true, ""student_answers"": {""5fb58dc9a47e4a73bfe0bc44df88092e_4_1"": ""0.480"", ""5fb58dc9a47e4a73bfe0bc44df88092e_5_1"": ""0.238"", ""5fb58dc9a47e4a73bfe0bc44df88092e_2_1"": ""1.6"", ""5fb58dc9a47e4a73bfe0bc44df88092e_3_1"": ""0.072"", ""5fb58dc9a47e4a73bfe0bc44df88092e_6_1"": ""576"", ""5fb58dc9a47e4a73bfe0bc44df88092e_8_1"": ""508.567"", ""5fb58dc9a47e4a73bfe0bc44df88092e_7_1"": ""456.96""}}"
DianaVF,"{""seed"": 16, ""input_state"": {""5fb58dc9a47e4a73bfe0bc44df88092e_4_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_5_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_2_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_3_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_6_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_8_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_7_1"": {}}}"
ist425527,"{""attempts"": 1, ""seed"": 7, ""done"": true, ""student_answers"": {""5fb58dc9a47e4a73bfe0bc44df88092e_4_1"": ""0.48"", ""5fb58dc9a47e4a73bfe0bc44df88092e_5_1"": ""0.238"", ""5fb58dc9a47e4a73bfe0bc44df88092e_2_1"": ""1.6"", ""5fb58dc9a47e4a73bfe0bc44df88092e_3_1"": ""0.072"", ""5fb58dc9a47e4a73bfe0bc44df88092e_6_1"": ""576"", ""5fb58dc9a47e4a73bfe0bc44df88092e_8_1"": ""508.57"", ""5fb58dc9a47e4a73bfe0bc44df88092e_7_1"": ""456.96""}, ""correct_map"": {""5fb58dc9a47e4a73bfe0bc44df88092e_4_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_3_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_6_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_5_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_8_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_7_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}}, ""input_state"": {""5fb58dc9a47e4a73bfe0bc44df88092e_4_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_5_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_2_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_3_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_6_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_8_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_7_1"": {}}, ""last_submission_time"": ""2019-10-29T15:26:44Z""}"
TomasMendes,"{""correct_map"": {""5fb58dc9a47e4a73bfe0bc44df88092e_4_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_5_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_3_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_6_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_8_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_7_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}}, ""input_state"": {""5fb58dc9a47e4a73bfe0bc44df88092e_4_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_5_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_2_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_3_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_6_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_8_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_7_1"": {}}, ""last_submission_time"": ""2019-10-28T10:18:44Z"", ""attempts"": 2, ""seed"": 13, ""done"": true, ""student_answers"": {""5fb58dc9a47e4a73bfe0bc44df88092e_4_1"": ""0.48"", ""5fb58dc9a47e4a73bfe0bc44df88092e_5_1"": ""0.238"", ""5fb58dc9a47e4a73bfe0bc44df88092e_2_1"": ""1.6"", ""5fb58dc9a47e4a73bfe0bc44df88092e_3_1"": ""0.072"", ""5fb58dc9a47e4a73bfe0bc44df88092e_6_1"": ""576"", ""5fb58dc9a47e4a73bfe0bc44df88092e_8_1"": ""508.57"", ""5fb58dc9a47e4a73bfe0bc44df88092e_7_1"": ""456.96""}}"
ist181226,"{""attempts"": 1, ""seed"": 9, ""done"": true, ""student_answers"": {""5fb58dc9a47e4a73bfe0bc44df88092e_4_1"": ""0.48"", ""5fb58dc9a47e4a73bfe0bc44df88092e_5_1"": ""0.238"", ""5fb58dc9a47e4a73bfe0bc44df88092e_2_1"": ""1.6"", ""5fb58dc9a47e4a73bfe0bc44df88092e_3_1"": ""0.072"", ""5fb58dc9a47e4a73bfe0bc44df88092e_6_1"": ""576"", ""5fb58dc9a47e4a73bfe0bc44df88092e_8_1"": ""508.57"", ""5fb58dc9a47e4a73bfe0bc44df88092e_7_1"": ""456.96""}, ""correct_map"": {""5fb58dc9a47e4a73bfe0bc44df88092e_4_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_3_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_6_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_5_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_8_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_7_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}}, ""input_state"": {""5fb58dc9a47e4a73bfe0bc44df88092e_4_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_5_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_2_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_3_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_6_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_8_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_7_1"": {}}, ""last_submission_time"": ""2019-11-05T23:14:49Z""}"
ist425580,"{""attempts"": 1, ""seed"": 14, ""done"": true, ""student_answers"": {""5fb58dc9a47e4a73bfe0bc44df88092e_4_1"": ""0.48"", ""5fb58dc9a47e4a73bfe0bc44df88092e_5_1"": ""0.238"", ""5fb58dc9a47e4a73bfe0bc44df88092e_2_1"": ""1.6"", ""5fb58dc9a47e4a73bfe0bc44df88092e_3_1"": ""0.072"", ""5fb58dc9a47e4a73bfe0bc44df88092e_6_1"": ""576"", ""5fb58dc9a47e4a73bfe0bc44df88092e_8_1"": ""508.57"", ""5fb58dc9a47e4a73bfe0bc44df88092e_7_1"": ""456.96""}, ""correct_map"": {""5fb58dc9a47e4a73bfe0bc44df88092e_4_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_3_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_6_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_5_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_8_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_7_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}}, ""input_state"": {""5fb58dc9a47e4a73bfe0bc44df88092e_4_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_5_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_2_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_3_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_6_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_8_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_7_1"": {}}, ""last_submission_time"": ""2019-11-09T17:01:19Z""}"
ist181798,"{""correct_map"": {""5fb58dc9a47e4a73bfe0bc44df88092e_4_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_5_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_3_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_6_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_8_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_7_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}}, ""input_state"": {""5fb58dc9a47e4a73bfe0bc44df88092e_4_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_5_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_2_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_3_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_6_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_8_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_7_1"": {}}, ""last_submission_time"": ""2019-11-09T19:39:21Z"", ""attempts"": 2, ""seed"": 18, ""done"": true, ""student_answers"": {""5fb58dc9a47e4a73bfe0bc44df88092e_4_1"": ""0.48"", ""5fb58dc9a47e4a73bfe0bc44df88092e_5_1"": ""0.24"", ""5fb58dc9a47e4a73bfe0bc44df88092e_2_1"": ""1.6"", ""5fb58dc9a47e4a73bfe0bc44df88092e_3_1"": ""0.072"", ""5fb58dc9a47e4a73bfe0bc44df88092e_6_1"": ""576"", ""5fb58dc9a47e4a73bfe0bc44df88092e_8_1"": ""508.6"", ""5fb58dc9a47e4a73bfe0bc44df88092e_7_1"": ""460.8""}}"
Eriksson,"{""correct_map"": {""5fb58dc9a47e4a73bfe0bc44df88092e_4_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_3_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_6_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_5_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_8_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_7_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}}, ""input_state"": {""5fb58dc9a47e4a73bfe0bc44df88092e_4_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_5_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_2_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_3_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_6_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_8_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_7_1"": {}}, ""last_submission_time"": ""2019-11-07T13:34:58Z"", ""attempts"": 2, ""seed"": 18, ""done"": true, ""student_answers"": {""5fb58dc9a47e4a73bfe0bc44df88092e_4_1"": ""0.48"", ""5fb58dc9a47e4a73bfe0bc44df88092e_5_1"": ""0.238"", ""5fb58dc9a47e4a73bfe0bc44df88092e_2_1"": ""1.6"", ""5fb58dc9a47e4a73bfe0bc44df88092e_3_1"": ""0.072"", ""5fb58dc9a47e4a73bfe0bc44df88092e_6_1"": ""576"", ""5fb58dc9a47e4a73bfe0bc44df88092e_8_1"": ""508.57"", ""5fb58dc9a47e4a73bfe0bc44df88092e_7_1"": ""456.96""}}"
ist425505,"{""correct_map"": {""5fb58dc9a47e4a73bfe0bc44df88092e_4_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_5_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_3_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_6_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_8_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}, ""5fb58dc9a47e4a73bfe0bc44df88092e_7_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}}, ""input_state"": {""5fb58dc9a47e4a73bfe0bc44df88092e_4_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_5_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_2_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_3_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_6_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_8_1"": {}, ""5fb58dc9a47e4a73bfe0bc44df88092e_7_1"": {}}, ""last_submission_time"": ""2019-10-28T10:18:44Z"", ""attempts"": 2, ""seed"": 16, ""done"": true, ""student_answers"": {""5fb58dc9a47e4a73bfe0bc44df88092e_4_1"": ""0.48"", ""5fb58dc9a47e4a73bfe0bc44df88092e_5_1"": ""0.238"", ""5fb58dc9a47e4a73bfe0bc44df88092e_2_1"": ""1.6"", ""5fb58dc9a47e4a73bfe0bc44df88092e_3_1"": ""0.072"", ""5fb58dc9a47e4a73bfe0bc44df88092e_6_1"": ""576"", ""5fb58dc9a47e4a73bfe0bc44df88092e_8_1"": ""508.57"", ""5fb58dc9a47e4a73bfe0bc44df88092e_7_1"": ""456.96""}}"
