username,state
rnbc,"{""seed"": 1, ""input_state"": {""ee7985c42de044fe990bc83faa3e93d2_3_1"": {}, ""ee7985c42de044fe990bc83faa3e93d2_2_1"": {}, ""ee7985c42de044fe990bc83faa3e93d2_5_1"": {}, ""ee7985c42de044fe990bc83faa3e93d2_4_1"": {}}}"
Carlos_Santos_Silva,"{""correct_map"": {""ee7985c42de044fe990bc83faa3e93d2_3_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}, ""ee7985c42de044fe990bc83faa3e93d2_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}, ""ee7985c42de044fe990bc83faa3e93d2_5_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}, ""ee7985c42de044fe990bc83faa3e93d2_4_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}}, ""input_state"": {""ee7985c42de044fe990bc83faa3e93d2_3_1"": {}, ""ee7985c42de044fe990bc83faa3e93d2_2_1"": {}, ""ee7985c42de044fe990bc83faa3e93d2_5_1"": {}, ""ee7985c42de044fe990bc83faa3e93d2_4_1"": {}}, ""last_submission_time"": ""2019-11-29T09:41:51Z"", ""attempts"": 1, ""seed"": 1, ""done"": true, ""student_answers"": {""ee7985c42de044fe990bc83faa3e93d2_3_1"": ""1.00"", ""ee7985c42de044fe990bc83faa3e93d2_2_1"": ""9999"", ""ee7985c42de044fe990bc83faa3e93d2_5_1"": ""3.00"", ""ee7985c42de044fe990bc83faa3e93d2_4_1"": ""2.00""}}"
ist425803,"{""attempts"": 1, ""seed"": 1, ""done"": true, ""student_answers"": {""ee7985c42de044fe990bc83faa3e93d2_3_1"": ""177.5"", ""ee7985c42de044fe990bc83faa3e93d2_2_1"": ""84503"", ""ee7985c42de044fe990bc83faa3e93d2_5_1"": ""2.00"", ""ee7985c42de044fe990bc83faa3e93d2_4_1"": ""2.50""}, ""correct_map"": {""ee7985c42de044fe990bc83faa3e93d2_3_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""ee7985c42de044fe990bc83faa3e93d2_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""ee7985c42de044fe990bc83faa3e93d2_5_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""ee7985c42de044fe990bc83faa3e93d2_4_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}}, ""input_state"": {""ee7985c42de044fe990bc83faa3e93d2_3_1"": {}, ""ee7985c42de044fe990bc83faa3e93d2_2_1"": {}, ""ee7985c42de044fe990bc83faa3e93d2_5_1"": {}, ""ee7985c42de044fe990bc83faa3e93d2_4_1"": {}}, ""last_submission_time"": ""2019-12-02T13:43:46Z""}"
ist159019,"{""seed"": 1, ""input_state"": {""ee7985c42de044fe990bc83faa3e93d2_3_1"": {}, ""ee7985c42de044fe990bc83faa3e93d2_2_1"": {}, ""ee7985c42de044fe990bc83faa3e93d2_5_1"": {}, ""ee7985c42de044fe990bc83faa3e93d2_4_1"": {}}}"
abmoutinho,"{""attempts"": 1, ""seed"": 1, ""done"": true, ""student_answers"": {""ee7985c42de044fe990bc83faa3e93d2_3_1"": ""2.00"", ""ee7985c42de044fe990bc83faa3e93d2_2_1"": ""40286"", ""ee7985c42de044fe990bc83faa3e93d2_5_1"": ""100.99"", ""ee7985c42de044fe990bc83faa3e93d2_4_1"": ""5.13""}, ""correct_map"": {""ee7985c42de044fe990bc83faa3e93d2_3_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""ee7985c42de044fe990bc83faa3e93d2_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""ee7985c42de044fe990bc83faa3e93d2_5_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""ee7985c42de044fe990bc83faa3e93d2_4_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}}, ""input_state"": {""ee7985c42de044fe990bc83faa3e93d2_3_1"": {}, ""ee7985c42de044fe990bc83faa3e93d2_2_1"": {}, ""ee7985c42de044fe990bc83faa3e93d2_5_1"": {}, ""ee7985c42de044fe990bc83faa3e93d2_4_1"": {}}, ""last_submission_time"": ""2019-11-28T22:36:52Z""}"
DianaVF,"{""attempts"": 1, ""seed"": 1, ""done"": true, ""student_answers"": {""ee7985c42de044fe990bc83faa3e93d2_3_1"": ""3"", ""ee7985c42de044fe990bc83faa3e93d2_2_1"": ""3"", ""ee7985c42de044fe990bc83faa3e93d2_5_1"": ""3"", ""ee7985c42de044fe990bc83faa3e93d2_4_1"": ""3""}, ""correct_map"": {""ee7985c42de044fe990bc83faa3e93d2_3_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""ee7985c42de044fe990bc83faa3e93d2_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""ee7985c42de044fe990bc83faa3e93d2_5_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""ee7985c42de044fe990bc83faa3e93d2_4_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}}, ""input_state"": {""ee7985c42de044fe990bc83faa3e93d2_3_1"": {}, ""ee7985c42de044fe990bc83faa3e93d2_2_1"": {}, ""ee7985c42de044fe990bc83faa3e93d2_5_1"": {}, ""ee7985c42de044fe990bc83faa3e93d2_4_1"": {}}, ""last_submission_time"": ""2019-11-16T20:28:49Z""}"
ist425527,"{""correct_map"": {""ee7985c42de044fe990bc83faa3e93d2_3_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""ee7985c42de044fe990bc83faa3e93d2_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""ee7985c42de044fe990bc83faa3e93d2_5_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""ee7985c42de044fe990bc83faa3e93d2_4_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}}, ""attempts"": 1, ""seed"": 1, ""done"": true, ""student_answers"": {""ee7985c42de044fe990bc83faa3e93d2_3_1"": ""345.7"", ""ee7985c42de044fe990bc83faa3e93d2_2_1"": ""84227"", ""ee7985c42de044fe990bc83faa3e93d2_5_1"": ""2.54"", ""ee7985c42de044fe990bc83faa3e93d2_4_1"": ""3.23""}, ""input_state"": {""ee7985c42de044fe990bc83faa3e93d2_3_1"": {}, ""ee7985c42de044fe990bc83faa3e93d2_2_1"": {}, ""ee7985c42de044fe990bc83faa3e93d2_5_1"": {}, ""ee7985c42de044fe990bc83faa3e93d2_4_1"": {}}, ""last_submission_time"": ""2019-12-02T16:05:19Z""}"
ist182497,"{""attempts"": 1, ""seed"": 1, ""done"": true, ""student_answers"": {""ee7985c42de044fe990bc83faa3e93d2_3_1"": ""387.1"", ""ee7985c42de044fe990bc83faa3e93d2_2_1"": ""82497"", ""ee7985c42de044fe990bc83faa3e93d2_5_1"": ""2.44"", ""ee7985c42de044fe990bc83faa3e93d2_4_1"": ""3.11""}, ""correct_map"": {""ee7985c42de044fe990bc83faa3e93d2_3_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""ee7985c42de044fe990bc83faa3e93d2_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""ee7985c42de044fe990bc83faa3e93d2_5_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""ee7985c42de044fe990bc83faa3e93d2_4_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}}, ""input_state"": {""ee7985c42de044fe990bc83faa3e93d2_3_1"": {}, ""ee7985c42de044fe990bc83faa3e93d2_2_1"": {}, ""ee7985c42de044fe990bc83faa3e93d2_5_1"": {}, ""ee7985c42de044fe990bc83faa3e93d2_4_1"": {}}, ""last_submission_time"": ""2019-12-02T16:10:59Z""}"
ist187293,"{""correct_map"": {""ee7985c42de044fe990bc83faa3e93d2_3_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""ee7985c42de044fe990bc83faa3e93d2_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""ee7985c42de044fe990bc83faa3e93d2_5_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}, ""ee7985c42de044fe990bc83faa3e93d2_4_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}}, ""attempts"": 1, ""seed"": 1, ""done"": true, ""student_answers"": {""ee7985c42de044fe990bc83faa3e93d2_3_1"": ""202.7"", ""ee7985c42de044fe990bc83faa3e93d2_2_1"": ""87293"", ""ee7985c42de044fe990bc83faa3e93d2_5_1"": ""2.38"", ""ee7985c42de044fe990bc83faa3e93d2_4_1"": ""3.01""}, ""input_state"": {""ee7985c42de044fe990bc83faa3e93d2_3_1"": {}, ""ee7985c42de044fe990bc83faa3e93d2_2_1"": {}, ""ee7985c42de044fe990bc83faa3e93d2_5_1"": {}, ""ee7985c42de044fe990bc83faa3e93d2_4_1"": {}}, ""last_submission_time"": ""2019-12-02T01:56:41Z""}"
ist175526,"{""seed"": 1, ""input_state"": {""ee7985c42de044fe990bc83faa3e93d2_3_1"": {}, ""ee7985c42de044fe990bc83faa3e93d2_2_1"": {}, ""ee7985c42de044fe990bc83faa3e93d2_5_1"": {}, ""ee7985c42de044fe990bc83faa3e93d2_4_1"": {}}}"
